Designator,Footprint,Quantity,Value,LCSC Part #
J1,IDC-Header_2x03_P2.54mm_Vertical_SMD,1,Conn_01x06,C42372545
J2,PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x06,C5160789
J3,IDC-Header_2x03_P1.27mm_Vertical_SMD,1,Conn_01x06,C42372553
J4,IDC-Header_2x04_P2.54mm_Vertical_SMD,1,Conn_01x08,C42372546
J5,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x08,C5160791
J6,IDC-Header_2x04_P1.27mm_Vertical_SMD,1,Conn_01x08,C42372554
J7,IDC-Header_2x05_P2.54mm_Vertical_SMD,1,Conn_01x10,C5665
J8,PinHeader_1x10_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x10,C42453977
J9,IDC-Header_2x05_P1.27mm_Vertical_SMD,1,Conn_01x10,C42372555
